REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,YEARWEEK
States,New York,2018,4,6354,1242,696,30.5,19.55,10.95,201804
States,New York,2018,5,7177,1398,849,31.31,19.48,11.83,201805
States,New York,2018,6,7517,1513,953,32.81,20.13,12.68,201806
States,New York,2018,7,7883,1457,1064,31.98,18.48,13.5,201807
States,New York,2018,8,5760,830,742,27.29,14.41,12.88,201808
States,New York,2018,9,4155,396,372,18.48,9.53,8.95,201809
States,New York,2018,10,3448,234,234,13.57,6.79,6.79,201810
States,New York,2018,11,3088,179,210,12.6,5.8,6.8,201811
States,New York,2018,12,2861,180,180,12.58,6.29,6.29,201812
States,New York,2018,13,2759,221,212,15.69,8.01,7.68,201813
States,New York,2018,14,2165,167,167,15.43,7.71,7.71,201814
States,New York,2018,15,2032,111,101,10.43,5.46,4.97,201815
States,New York,2018,16,1916,111,66,9.24,5.79,3.44,201816
States,New York,2018,17,1728,76,68,8.33,4.4,3.94,201817
States,New York,2018,18,1609,53,30,5.16,3.29,1.86,201818
States,New York,2018,19,1498,31,34,4.34,2.07,2.27,201819
States,New York,2018,20,1360,22,13,2.57,1.62,0.96,201820
States,New York,2018,21,1209,11,3,1.16,0.91,0.25,201821
States,New York,2018,22,1166,10,1,0.94,0.86,0.09,201822
States,New York,2018,23,1139,3,1,0.35,0.26,0.09,201823
States,New York,2018,24,1070,1,0,0.09,0.09,0,201824
States,New York,2018,25,997,0,0,0,0,0,201825
States,New York,2018,26,859,1,0,0.12,0.12,0,201826
States,New York,2018,27,812,0,0,0,0,0,201827
States,New York,2018,28,879,3,0,0.34,0.34,0,201828
States,New York,2018,29,857,2,0,0.23,0.23,0,201829
States,New York,2018,30,818,2,0,0.24,0.24,0,201830
States,New York,2018,31,755,1,0,0.13,0.13,0,201831
States,New York,2018,32,851,1,0,0.12,0.12,0,201832
States,New York,2018,33,803,0,0,0,0,0,201833
States,New York,2018,34,860,0,0,0,0,0,201834
States,New York,2018,35,807,1,0,0.12,0.12,0,201835
States,New York,2018,36,810,3,0,0.37,0.37,0,201836
States,New York,2018,37,1218,0,0,0,0,0,201837
States,New York,2018,38,1170,4,1,0.43,0.34,0.09,201838
States,New York,2018,39,1452,4,3,0.48,0.28,0.21,201839
States,New York,2018,40,1454,5,2,0.48,0.34,0.14,201840
States,New York,2018,41,1999,7,1,0.4,0.35,0.05,201841
States,New York,2018,42,2068,7,0,0.34,0.34,0,201842
States,New York,2018,43,2152,7,2,0.42,0.33,0.09,201843
States,New York,2018,44,2043,8,1,0.44,0.39,0.05,201844
States,New York,2018,45,2106,15,1,0.76,0.71,0.05,201845
States,New York,2018,46,2029,24,0,1.18,1.18,0,201846
States,New York,2018,47,2056,30,4,1.65,1.46,0.19,201847
States,New York,2018,48,2442,59,7,2.7,2.42,0.29,201848
States,New York,2018,49,2572,63,9,2.8,2.45,0.35,201849
States,New York,2018,50,2852,157,10,5.86,5.5,0.35,201850
States,New York,2018,51,3169,266,4,8.52,8.39,0.13,201851
States,New York,2018,52,3399,436,7,13.03,12.83,0.21,201852
States,New York,2019,1,3852,513,3,13.4,13.32,0.08,201901
States,New York,2019,2,2698,347,8,13.16,12.86,0.3,201902
States,New York,2019,3,2673,421,0,15.75,15.75,0,201903
States,New York,2019,4,2644,553,6,21.14,20.92,0.23,201904
