YEAR,WEEK,TOTAL SPECIMENS,AS,AH1,AH3,H3N2v,B,BVic,BYam,YEARWEEK
2018,4,6923,38,540,2749,0,231,58,718,201804
2018,5,7056,41,542,2494,0,306,91,804,201805
2018,6,6492,32,544,2040,0,329,113,931,201806
2018,7,5508,24,495,1511,0,251,115,931,201807
2018,8,4546,19,306,1073,0,245,116,891,201808
2018,9,3580,12,246,588,0,204,88,699,201809
2018,10,3057,25,144,411,0,172,88,646,201810
2018,11,2529,25,188,277,0,174,70,542,201811
2018,12,2248,10,120,234,0,129,52,467,201812
2018,13,1965,8,132,220,0,107,62,455,201813
2018,14,1906,7,120,163,0,72,54,405,201814
2018,15,1481,2,101,102,0,54,40,297,201815
2018,16,1174,0,51,86,0,45,43,211,201816
2018,17,1028,1,56,53,0,53,28,138,201817
2018,18,831,2,40,31,0,23,14,137,201818
2018,19,599,0,16,20,0,8,6,68,201819
2018,20,464,0,16,10,0,10,6,27,201820
2018,21,344,0,18,6,0,8,4,20,201821
2018,22,265,0,8,5,0,2,2,11,201822
2018,23,286,0,7,3,0,3,3,9,201823
2018,24,283,0,6,3,0,2,3,8,201824
2018,25,213,0,1,3,1,0,3,6,201825
2018,26,197,0,2,6,0,0,0,1,201826
2018,27,131,0,9,5,0,1,0,6,201827
2018,28,176,0,8,9,0,1,2,3,201828
2018,29,174,0,15,5,0,3,2,4,201829
2018,30,243,4,9,3,0,0,2,0,201830
2018,31,185,3,7,10,0,0,0,1,201831
2018,32,164,5,6,8,0,1,0,2,201832
2018,33,181,6,5,9,0,1,0,2,201833
2018,34,259,6,17,20,0,1,0,1,201834
2018,35,258,0,10,6,0,0,0,2,201835
2018,36,351,0,17,17,0,1,0,1,201836
2018,37,446,0,29,14,0,0,1,5,201837
2018,38,535,2,22,17,0,2,1,2,201838
2018,39,561,0,20,13,0,0,0,3,201839
2018,40,795,7,29,11,0,0,7,11,201840
2018,41,900,7,52,11,0,5,3,5,201841
2018,42,1090,13,51,21,0,1,2,14,201842
2018,43,1102,3,74,35,0,3,0,13,201843
2018,44,1228,2,84,23,0,1,1,8,201844
2018,45,1310,14,117,27,0,4,4,7,201845
2018,46,1400,9,147,40,0,0,2,3,201846
2018,47,1106,9,211,53,0,1,2,5,201847
2018,48,1681,9,321,63,0,1,2,10,201848
2018,49,1690,14,355,89,0,8,3,7,201849
2018,50,2149,16,667,166,0,3,7,6,201850
2018,51,2607,78,1100,227,0,9,20,7,201851
2018,52,2524,113,1216,263,0,9,18,9,201852
2019,1,2755,168,1125,270,0,6,6,14,201901
2019,2,3117,105,1345,218,0,14,2,14,201902
2019,3,2997,33,1348,319,0,9,15,14,201903
2019,4,3074,50,1329,441,0,12,15,9,201904
