lon,lat,type,loctype,address,north,south,east,west
-73.5387341,41.0534302,locality,approximate,"stamford, ct, usa",41.1796839,40.96346,-73.495165,-73.633827
-120.7401385,47.7510741,administrative_area_level_1,approximate,"washington, usa",49.0024305,45.543541,-116.91558,-124.8489739
-74.4173877,40.8652865,locality,approximate,"parsippany-troy hills, nj, usa",40.9019109,40.824991,-74.34088,-74.533554
-79.1096901,40.6850762,administrative_area_level_2,approximate,"indiana county, pa, usa",40.911346,40.3687169,-78.79899,-79.4599
-81.3792365,28.5383355,locality,approximate,"orlando, fl, usa",28.6143519,28.3479859,-81.22977,-81.50773
-85.3863599,40.1933767,locality,approximate,"muncie, in, usa",40.2406969,40.1491029,-85.320673,-85.454449
-119.4179324,36.778261,administrative_area_level_1,approximate,"california, usa",42.0095169,32.528832,-114.131211,-124.482003
-86.902298,32.3182314,administrative_area_level_1,approximate,"alabama, usa",35.008028,30.144425,-84.888246,-88.4732269
-72.5198537,42.3732216,locality,approximate,"amherst, ma, usa",42.433715,42.301514,-72.4641859,-72.546796
-87.9118607,42.1463501,bar,rooftop,"412 n milwaukee ave, wheeling, il 60090, usa",42.14769908,42.14500112,-87.91051172,-87.91320968
-71.0588801,42.3600825,locality,approximate,"boston, ma, usa",42.4008199,42.22788,-70.749455,-71.191113
-119.0187125,35.3732921,locality,approximate,"bakersfield, ca, usa",35.4479751,35.193979,-118.7723409,-119.265033
-82.3646068,41.4219889,locality,approximate,"vermilion, oh, usa",41.4307961,41.37968,-82.2823779,-82.3792059
-74.0059728,40.7127753,locality,approximate,"new york, ny, usa",40.9175771,40.4773991,-73.7002721,-74.2590899
-81.6943605,41.49932,locality,approximate,"cleveland, oh, usa",41.604436,41.390628,-81.5327439,-81.878976
-79.9558968,39.629526,locality,approximate,"morgantown, wv, usa",39.675097,39.595085,-79.8987709,-79.9881598
-84.2700179,37.8393332,administrative_area_level_1,approximate,"kentucky, usa",39.147458,36.4971289,-81.9649708,-89.5715089
-80.0580969,26.7753405,locality,approximate,"riviera beach, fl, usa",26.814939,26.7622301,-80.0301771,-80.1194648
-87.6297982,41.8781136,locality,approximate,"chicago, il, usa",42.023131,41.6443349,-87.523661,-87.9402669
-86.5804473,35.5174913,administrative_area_level_1,approximate,"tennessee, usa",36.678118,34.9829239,-81.6469,-90.3102978
-74.0059728,40.7127753,locality,approximate,"new york, ny, usa",40.9175771,40.4773991,-73.7002721,-74.2590899
-75.9179738,42.0986867,locality,approximate,"binghamton, ny, usa",42.131775,42.0718619,-75.8570229,-75.9501499
-83.7430378,42.2808256,locality,approximate,"ann arbor, mi, usa",42.3239728,42.222668,-83.6758069,-83.799572
-104.990251,39.7392358,locality,approximate,"denver, co, usa",39.9142469,39.614431,-104.6002959,-105.109927
-91.6656232,41.9778795,locality,approximate,"cedar rapids, ia, usa",42.0686969,41.8615811,-91.5508061,-91.774548
-84.3879824,33.7489954,locality,approximate,"atlanta, ga, usa",33.8876179,33.6478079,-84.289389,-84.5518189
-80.2767327,26.6514503,administrative_area_level_2,approximate,"palm beach county, fl, usa",26.9709431,26.3207559,-79.974306,-80.886232
-85.4807825,32.6098566,locality,approximate,"auburn, al, usa",32.730713,32.5250929,-85.404466,-85.572597
-90.2338232,38.6354598,establishment,rooftop,"1 n grand blvd, st. louis, mo 63103, usa",38.63680878,38.63411082,-90.23247422,-90.23517218
-77.2716502,39.1731621,locality,approximate,"germantown, md, usa",39.2067559,39.1453929,-77.2203288,-77.3025441
-83.9704593,35.7564719,locality,approximate,"maryville, tn, usa",35.784061,35.701868,-83.915034,-84.0933851
-80.0533746,26.7153424,locality,approximate,"west palm beach, fl, usa",26.839332,26.6445439,-80.043463,-80.2146168
