lon,lat,type,loctype,address,north,south,east,west
-74.1995883,40.4331631,locality,approximate,"keyport, nj 07735, usa",40.4473839,40.4226119,-74.183532,-74.218062
-95.712891,37.09024,doctor,geometric_center,"independence, ks 67301, usa",37.09158898,37.08889102,-95.71154202,-95.71423998
-149.0729714,62.4113634,colloquial_area,approximate,"west coast, usa",71.441059,18.86546,-114.131211,172.3478461
-73.0506972,41.485921,locality,approximate,"naugatuck, ct 06770, usa",41.519396,41.4562879,-73.0010499,-73.104654
-83.9207392,35.9606384,locality,approximate,"knoxville, tn, usa",36.067428,35.8494959,-83.688543,-84.161622
-82.7116821,41.4561754,locality,approximate,"sandusky, oh 44870, usa",41.493944,41.4166429,-82.617723,-82.7865351
-84.0712997,34.0514898,locality,approximate,"suwanee, ga 30024, usa",34.0843369,34.0207101,-84.02277,-84.1085251
-79.9958864,40.4406248,locality,approximate,"pittsburgh, pa, usa",40.501368,40.3613689,-79.8657231,-80.0952779
-122.4194155,37.7749295,locality,approximate,"san francisco, ca, usa",37.812,37.7034,-122.3482,-122.527
-74.0059728,40.7127753,locality,approximate,"new york, ny, usa",40.9175771,40.4773991,-73.7002721,-74.2590899
-86.39027,35.8456213,locality,approximate,"murfreesboro, tn, usa",35.960675,35.7627289,-86.3373659,-86.5035319
-88.0747875,41.801141,locality,approximate,"lisle, il, usa",41.8184929,41.760313,-88.0491749,-88.118521
-86.8752869,40.4167022,locality,approximate,"lafayette, in, usa",40.4544791,40.355483,-86.7903268,-86.926105
-81.655651,30.3321838,locality,approximate,"jacksonville, fl, usa",30.586232,30.103748,-81.316712,-82.0495018
-71.5884363,42.6659232,locality,approximate,"pepperell, ma 01463, usa",42.7051881,42.625898,-71.532572,-71.657714
-81.2811801,28.2489016,locality,approximate,"st cloud, fl, usa",28.2676891,28.1731919,-81.2021619,-81.3399749
-87.6297982,41.8781136,locality,approximate,"chicago, il, usa",42.023131,41.6443349,-87.523661,-87.9402669
-83.1932284,37.24954,locality,approximate,"hazard, ky, usa",37.301153,37.2202309,-83.161242,-83.2397289
-71.1447732,42.1584324,locality,approximate,"canton, ma, usa",42.22788,42.1375319,-71.0663929,-71.177624
-84.4493725,33.6534427,locality,approximate,"college park, ga, usa",33.6694689,33.6039058,-84.4284269,-84.500288
-83.9207392,35.9606384,locality,approximate,"knoxville, tn, usa",36.067428,35.8494959,-83.688543,-84.161622
-77.3663538,35.612661,locality,approximate,"greenville, nc, usa",35.6760879,35.5297779,-77.279445,-77.4752649
-95.7516717,47.5761382,locality,approximate,"fosston, mn 56542, usa",47.6015559,47.5685179,-95.7361298,-95.7797949
-81.9651152,33.5018026,locality,approximate,"north augusta, sc, usa",33.581714,33.4600469,-81.8959541,-82.0110211
-84.2700179,37.8393332,administrative_area_level_1,approximate,"kentucky, usa",39.147458,36.4971289,-81.9649708,-89.5715089
-86.8849984,36.5092118,locality,approximate,"springfield, tn 37172, usa",36.550056,36.44489,-86.8142039,-86.944675
-84.1468616,33.4473361,locality,approximate,"mcdonough, ga, usa",33.483533,33.401806,-84.0996221,-84.1987269
-82.907123,40.4172871,administrative_area_level_1,approximate,"ohio, usa",42.327132,38.4034229,-80.5182,-84.8203049
-120.5542012,43.8041334,administrative_area_level_1,approximate,"oregon, usa",46.299099,41.9917941,-116.463262,-124.7035411
-81.3792365,28.5383355,locality,approximate,"orlando, fl, usa",28.6143519,28.3479859,-81.22977,-81.50773
-99.9018131,31.9685988,administrative_area_level_1,approximate,"texas, usa",36.5007041,25.8371638,-93.5080389,-106.6456461
-75.3704579,40.6259316,locality,approximate,"bethlehem, pa, usa",40.6724789,40.578004,-75.301637,-75.4304159
-86.5804473,35.5174913,administrative_area_level_1,approximate,"tennessee, usa",36.678118,34.9829239,-81.6469,-90.3102978
-78.8783689,42.8864468,locality,approximate,"buffalo, ny, usa",42.9664549,42.826023,-78.795157,-78.9337276
-83.0290644,38.7584091,locality,approximate,"west portsmouth, oh 45663, usa",38.779655,38.74546,-83.014214,-83.070167
-85.8649408,37.7030646,locality,approximate,"elizabethtown, ky, usa",37.7675979,37.649929,-85.8202029,-85.9476579
-86.7816016,36.1626638,locality,approximate,"nashville, tn, usa",36.4054959,35.9677851,-86.5155879,-87.054903
-80.1917902,25.7616798,locality,approximate,"miami, fl, usa",25.855773,25.709042,-80.139157,-80.3197599
-73.7948516,40.7282239,political,approximate,"queens, ny, usa",40.8122421,40.4897939,-73.7002721,-74.0421119
-82.5154471,40.75839,locality,approximate,"mansfield, oh, usa",40.843412,40.68897,-82.457189,-82.59009
-88.3200715,41.7605849,locality,approximate,"aurora, il, usa",41.8221908,41.6797539,-88.2048429,-88.4085949
-85.6023643,44.3148443,administrative_area_level_1,approximate,"michigan, usa",48.3060628,41.696118,-82.1229709,-90.4181358
-84.5120196,39.1031182,locality,approximate,"cincinnati, oh, usa",39.2207591,39.051921,-84.3687548,-84.7120481
-84.3879824,33.7489954,locality,approximate,"atlanta, ga, usa",33.8876179,33.6478079,-84.289389,-84.5518189
-79.0192997,35.7595731,administrative_area_level_1,approximate,"north carolina, usa",36.5881568,33.7528778,-75.400119,-84.321869
-77.0368707,38.9071923,locality,approximate,"washington, dc, usa",38.995548,38.7916449,-76.909393,-77.119759
-81.8538669,41.4057985,airport,rooftop,"cleveland hopkins international airport (cle), 5300 riverside dr, cleveland, oh 44135, usa",41.40714748,41.40444952,-81.85251792,-81.85521588
-77.3783789,39.1289725,political,approximate,"washington metropolitan area, usa",39.720045,37.991157,-76.3219078,-78.3866819
-76.4921829,38.9784453,locality,approximate,"annapolis, md, usa",39.002911,38.9420269,-76.469805,-76.5395839
-84.2700179,37.8393332,administrative_area_level_1,approximate,"kentucky, usa",39.147458,36.4971289,-81.9649708,-89.5715089
-76.93776,38.9896967,locality,approximate,"college park, md, usa",39.025559,38.971109,-76.9091469,-76.965351
-86.5804473,35.5174913,administrative_area_level_1,approximate,"tennessee, usa",36.678118,34.9829239,-81.6469,-90.3102978
-119.4179324,36.778261,administrative_area_level_1,approximate,"california, usa",42.0095169,32.528832,-114.131211,-124.482003
-86.7816016,36.1626638,locality,approximate,"nashville, tn, usa",36.4054959,35.9677851,-86.5155879,-87.054903
-74.0323626,40.7439905,locality,approximate,"hoboken, nj, usa",40.7590989,40.7303209,-74.0137841,-74.044117
-83.9924477,35.9356141,bar,rooftop,"5448 homberg dr, knoxville, tn 37919, usa",35.93696308,35.93426512,-83.99109872,-83.99379668
-84.4277001,33.6407282,airport,rooftop,"hartsfield-jackson atlanta international airport (atl), 6000 n terminal pkwy, atlanta, ga 30320, usa",33.64207718,33.63937922,-84.42635112,-84.42904908
-77.4360481,37.5407246,locality,approximate,"richmond, va, usa",37.6027689,37.446553,-77.3855119,-77.601011
-82.907123,40.4172871,administrative_area_level_1,approximate,"ohio, usa",42.327132,38.4034229,-80.5182,-84.8203049
-95.706922,37.2256801,establishment,rooftop,"301 n pennsylvania ave, independence, ks 67301, usa",37.22702908,37.22433112,-95.70557302,-95.70827098
-93.8688109,36.6770111,locality,approximate,"cassville, mo 65625, usa",36.703838,36.657514,-93.841991,-93.8925741
-78.898619,35.9940329,locality,approximate,"durham, nc, usa",36.1369289,35.8667249,-78.762172,-79.00765
-77.0368707,38.9071923,locality,approximate,"washington, dc, usa",38.995548,38.7916449,-76.909393,-77.119759
-74.7351513,39.7775775,locality,approximate,"shamong, nj, usa",39.8425529,39.72229,-74.626702,-74.811819
-78.5840939,35.8702581,establishment,rooftop,"7041 old wake forest rd #106, raleigh, nc 27616, usa",35.87160708,35.86890912,-78.58274492,-78.58544288
-71.0588801,42.3600825,locality,approximate,"boston, ma, usa",42.4008199,42.22788,-70.749455,-71.191113
-85.7584557,38.2526647,locality,approximate,"louisville, ky, usa",38.38051,37.9971,-85.4051,-85.948441
-86.7816016,36.1626638,locality,approximate,"nashville, tn, usa",36.4054959,35.9677851,-86.5155879,-87.054903
